Sample_new,Sample_Name,Perc_Moisture,Year,Proportion_dry
C06-3,C06-3,79.78043912,2021,0.202195609
C06-4,C06-4,83.64985163,2021,0.163501484
C06-5,C06-5,83.58565737,2021,0.164143426
C06-6,C06-6,83.29376855,2021,0.167062315
L08-1,L08-1,84.61691542,2021,0.153830846
L08-2,L08-2,85.9800995,2021,0.140199005
L08-3,L08-3,83.81,2021,0.1619
L08-4,L08-4,72.62164846,2021,0.273783515
L08-5,L08-5,86.51348651,2021,0.134865135
L08-6,L08-6,81.29096326,2021,0.187090367
L09-1,L09-1,81.0990099,2021,0.189009901
L09-2,L09-2,85.44366899,2021,0.14556331
L09-3,L09-3,76.45,2021,0.2355
L09-4,L09-4,81.02691924,2021,0.189730808
L09-5,L09-5,88.84043608,2021,0.111595639
L09-6,L09-6,82.14785215,2021,0.178521479
L10-1,L10-1,82.08,2021,0.1792
L10-2,L10-2,82.95522388,2021,0.170447761
L10-3,L10-3,85.39381854,2021,0.146061815
L10-4,L10-4,78.8,2021,0.212
L10-5,L10-5,80.16,2021,0.1984
L10-6,L10-6,79.48565776,2021,0.205143422
L11-1,L11-1,82.15491559,2021,0.178450844
L11-2,L11-2,78.30188679,2021,0.216981132
L11-3,L11-3,77.54679803,2021,0.22453202
L11-4,L11-4,82.09072978,2021,0.179092702
L11-5,L11-5,84.39842209,2021,0.156015779
L11-6,L11-6,81.92269574,2021,0.180773043
L12-1,L12-1,85.21224087,2021,0.147877591
L12-2,L12-2,82.53,2021,0.1747
L12-3,L12-3,87.76447106,2021,0.122355289
L12-4,L12-4,76.70948617,2021,0.232905138
L12-5,L12-5,76.78286853,2021,0.232171315
C07-1,C07-1,78.78848064,2021,0.212115194
C07-2,C07-2,81.88118812,2021,0.181188119
C07-3,C07-3,88.66273353,2021,0.113372665
C07-4,C07-4,87.36111111,2021,0.126388889
C07-5,C07-5,82.84577114,2021,0.171542289
C07-6,C07-6,87.11729622,2021,0.128827038
