Sample_new,sample.name,year,plate,plate.location,run.date,enzyme,activity.nmol.h.g,incubation.time,
C07-6,C07-6,2020,48,3,Feb-23,CELO,642.0408434,1.hr,
U01-1,U01-1,2021,49,1,Feb-23,CELO,440.0727663,1.hr,
U01-2,U01-2,2021,49,2,Feb-23,CELO,502.9870333,1.hr,
U01-3,U01-3,2021,49,3,Feb-23,CELO,213.79159,1.hr,
U01-4,U01-4,2021,50,1,Feb-23,CELO,203.3551725,1.hr,
U01-5,U01-5,2021,50,2,Feb-23,CELO,348.1014073,1.hr,
U01-6,U01-6,2021,50,3,Feb-23,CELO,548.2123353,1.hr,
U02-1,U02-1,2021,51,1,Feb-23,CELO,215.6578604,1.hr,
U02-2,U02-2,2021,51,2,Feb-23,CELO,365.0905156,1.hr,
U02-3,U02-3,2021,51,3,Feb-23,CELO,364.598795,1.hr,
U02-4,U02-4,2021,52,1,Feb-23,CELO,88.51200639,1.hr,
U02-5,U02-5,2021,52,2,Feb-23,CELO,140.6415012,1.hr,
U02-6,U02-6,2021,52,3,Feb-23,CELO,289.7157591,1.hr,
U03-1,U03-1,2021,53,1,Feb-23,CELO,354.688221,1.hr,
U03-2,U03-2,2021,53,2,Feb-23,CELO,250.1743077,1.hr,
U03-3,U03-3,2021,53,3,Feb-23,CELO,117.360898,1.hr,
U03-4,U03-4,2021,54,1,Feb-23,CELO,648.504834,1.hr,
U03-5,U03-5,2021,54,2,Feb-23,CELO,435.496215,1.hr,
U03-6,U03-6,2021,54,3,Feb-23,CELO,291.2729435,1.hr,
C04-1,C04-1,2021,55,1,Feb-23,CELO,555.824201,1.hr,
C04-2,C04-2,2021,55,2,Feb-23,CELO,491.8431599,1.hr,
C04-3,C04-3,2021,55,3,Feb-23,CELO,356.9269325,1.hr,
C04-4,C04-4,2021,56,1,Feb-23,CELO,562.4452181,1.hr,
C04-5,C04-5,2021,56,2,Feb-23,CELO,467.0379409,1.hr,
C04-6,C04-6,2021,56,3,Feb-23,CELO,542.5068026,1.hr,
C05-1,C05-1,2021,57,1,Feb-23,CELO,494.3838635,1.hr,
C05-2,C05-2,2021,57,2,Feb-23,CELO,433.6690253,1.hr,
C05-3,C05-3,2021,57,3,Feb-23,CELO,499.357977,1.hr,
C05-4,C05-4,2021,58,1,Feb-23,CELO,402.0207338,1.hr,
C05-5,C05-5,2021,58,2,Feb-23,CELO,444.1495325,1.hr,
C05-6,C05-6,2021,58,3,Feb-23,CELO,447.4665556,1.hr,
C06-1,C06-1,2021,59,1,Feb-23,CELO,473.8383138,1.hr,
C06-2,C06-2,2021,59,2,Feb-23,CELO,529.4014226,1.hr,
C06-3,C06-3,2021,59,3,Feb-23,CELO,546.4467703,1.hr,
C06-4,C06-4,2021,60,1,Feb-23,CELO,355.3271708,1.hr,
C06-5,C06-5,2021,60,2,Feb-23,CELO,619.3117653,1.hr,
C06-6,C06-6,2021,60,3,Feb-23,CELO,751.5745595,1.hr,
L08-1,L08-1,2021,61,1,Feb-23,CELO,129.2435542,1.hr,
L08-2,L08-2,2021,61,2,Feb-23,CELO,209.7798756,1.hr,
L08-3,L08-3,2021,61,3,Feb-23,CELO,376.9420459,1.hr,
L08-4,L08-4,2021,62,1,Feb-23,CELO,305.4089906,1.hr,
L08-5,L08-5,2021,62,2,Feb-23,CELO,231.3449574,1.hr,
L08-6,L08-6,2021,62,3,Feb-23,CELO,120.9623366,1.hr,
L09-1,L09-1,2021,63,1,Feb-23,CELO,345.4385611,1.hr,
L09-2,L09-2,2021,63,2,Feb-23,CELO,194.9476422,1.hr,
L09-3,L09-3,2021,63,3,Feb-23,CELO,236.7488315,1.hr,
L09-4,L09-4,2021,64,1,Feb-23,CELO,295.0089587,1.hr,
L09-5,L09-5,2021,64,2,Feb-23,CELO,237.0441237,1.hr,
L09-6,L09-6,2021,64,3,Feb-23,CELO,319.3493314,1.hr,
L10-1,L10-1,2021,65,1,Feb-23,CELO,457.2088375,1.hr,
L10-2,L10-2,2021,65,2,Feb-23,CELO,362.4010037,1.hr,
L10-3,L10-3,2021,65,3,Feb-23,CELO,325.1853927,1.hr,
L10-4,L10-4,2021,66,1,Feb-23,CELO,270.9106411,1.hr,
L10-5,L10-5,2021,66,2,Feb-23,CELO,246.5435737,1.hr,
L10-6,L10-6,2021,66,3,Feb-23,CELO,277.1144529,1.hr,
L11-1,L11-1,2021,67,1,Feb-23,CELO,412.2568023,1.hr,
L11-2,L11-2,2021,67,2,Feb-23,CELO,388.914367,1.hr,
L11-3,L11-3,2021,67,3,Feb-23,CELO,473.5542532,1.hr,
L11-4,L11-4,2021,68,1,Feb-23,CELO,471.4778991,1.hr,
L11-5,L11-5,2021,68,2,Feb-23,CELO,792.7718769,1.hr,
L11-6,L11-6,2021,68,3,Feb-23,CELO,562.5226846,1.hr,
L12-1,L12-1,2021,69,1,Feb-23,CELO,481.6037348,1.hr,
L12-2,L12-2,2021,69,2,Feb-23,CELO,612.2461012,1.hr,
L12-3,L12-3,2021,69,3,Feb-23,CELO,280.2993153,1.hr,
L12-4,L12-4,2021,70,1,Feb-23,CELO,728.182869,1.hr,
L12-5,L12-5,2021,70,2,Feb-23,CELO,425.5803789,1.hr,
C07-1,C07-1,2021,70,3,Feb-23,CELO,603.9947366,1.hr,
C07-2,C07-2,2021,71,1,Feb-23,CELO,519.9192326,1.hr,
C07-3,C07-3,2021,71,2,Feb-23,CELO,513.4250753,1.hr,
C07-4,C07-4,2021,71,3,Feb-23,CELO,255.5052237,1.hr,
C07-5,C07-5,2021,72,1,Feb-23,CELO,455.3345883,1.hr,
C07-6,C07-6,2021,72,2,Feb-23,CELO,493.7407623,1.hr,
